pais;comentario
United States;These text bubble comments are absolutely awful. Can I get the old version back somehow ?
Australia;Cannot update page descriptions through app (also the page app).......keep asking me to try but fail every time.......can you pls rectify ?
Australia;....
Hong Kong;I tried to uninstall and then reinstall the instagram but it still doesn't work. It failed on sending any direct messages or comments.
Hong Kong;Easy to use! Prefect in performance!
South Africa;Good app. Would be great to be able to choose foods from a country.
Australia;So I've used Instagram since 4 years now and what I think would be better is that if we had this online / offline thing so that we could see that is someone ignoring us or not. That's it. Love it.
Singapore;What happened to the chat function that is located at the side bar? And I m not referring to messenger.
Hong Kong;Cant select custom apps like whatsapp etc, totally useless
India;Day by changes are making this app a typical user interface
United States;When you're driving it's very difficult to pull up the hazard features to mark where problems are occurring. I tried 3xs to mark a major road closure and couldn't mark it and apparently neither could anyone else, because hours later the road still wasn't marked. The next day even more roads are closed (flooding) and I'm afraid to trust this app now for my VERY LONG route to work. I already see one problem with the route it's giving me, so I could spend hours driving in circles today.\n NOT how I want to spend my morning.
United Kingdom;Brilliant never fails me on the road
United Kingdom;Despite updates, the app is STILL showing status updates from a week ago. Every day I log on, and instead of seeing latest posts I see random posts from 5/6/7 days ago. There have been updates since but they've failed to fix this - as many users say, you don't say what the update actually involves or improves. Very poor.
Singapore;The more you update the app, the worse it becomes. Now, I cant even read the comments properly because they're too close to the person's profile name and this is not even elderly friendly. What about people that cant see words properly or they are colourblind? Worst update ever.
United States;I enjoy the instagram.thanks for every things
Hong Kong;ï¼Ÿ?3 whatsapp
Canada;I used this app for over 3 years now. It's easy to communicate and can see what's going on in our daily life's.
United States;deleted and re-installed, but app won't open on ipad. the icon is unresponsive. (first posted abt 5 days ago and it still doesn't work)
United States;Ever since the latest update, I'm no longer getting any notifications. Bummer dude.
South Africa;Always on point. Always great way to get around
South Africa;Since the new up date WhatsApp has been closing itself mostly when u playing status of friends. This is very annoying. Please fix.
United Kingdom;Newsfeed is all over the place. Why is it showing me posts from 5 days ago followed by a smattering of more recent posts? Even the most recent newsfeed option is rubbish.
South Africa;Facebook app download is not working
United Kingdom;Best social media app! So much more entertaining than any others.
Canada;I don't usually write reviews, but the Waze app has saved me so much driving time, that I felt I needed to give back! It is a great app and I have recommended to many people.
Australia;This piece of ShÂ¡t is cancerous because I'm trying to put up a pp but it won't let me put what I want on it (crop) when I try I keeps on fÃ»Ã§king up (cropping out me man bun)
Canada;I just updated and it won't let me post videos. Frustrating as I have a good connection but it won't post it.
Canada;I Love all the nice pictures of expert fish tanks!\n I also love meeting new people from all over the world!
United Kingdom;Bought an iphone JUST so i could join the instagram fun! Wish pics weren't quite so narrow because when you want to post ones you've taken on the phones camera, & not thru Instagram, you lose so much of it. Would be nice if it let you reduce it to fit it all in, giving you a black bar top and bottom so I don't have to edit in a separate app first.
India;I've been using this app from last 2 weeks and I'm in love with it already! It is an amazing app for those fitness lovers like me . Not only it tracks the daily step of you but it also make an account of your daily caloric intake. It suggests the exact calorie one should take per day depending on their BMI . For people who wants to lose weight, this is the correct app for you. Don't waste time just kill the install button right away!
